,survived,pclass,age,sibsp,parch,adult_male,alone,log_fare,new_fare,gender,female_class,deck_A,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,deck_Unknown,embarked_C,embarked_Q,embarked_S,embarked_U,who_child,who_man,who_woman,class_First,class_Second,class_Third,"age_groups_(0, 15]","age_groups_(15, 25]","age_groups_(25, 45]","age_groups_(45, 70]","age_groups_(70, 100]",age_groups
44,1,3,19.0,0,0,0,1,2.1837114628556327,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,"(15, 25]"
45,0,3,32.973597359735976,0,0,1,1,2.2027647577118348,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
46,0,3,32.70192307692308,1,0,1,0,2.803360380906535,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
47,1,3,31.08421052631579,0,0,0,1,2.169053700369523,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,"(25, 45]"
48,0,3,31.181818181818183,2,0,1,0,3.1214482048688246,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
49,0,3,18.0,1,0,0,0,2.9338568698359038,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,"(15, 25]"
50,0,3,7.0,4,1,0,0,3.705920919968788,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,"(0, 15]"
51,0,3,21.0,0,0,1,1,2.174751721484161,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,"(15, 25]"
52,1,1,49.0,1,0,0,0,4.353230991152628,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,"(45, 70]"
53,1,2,29.0,1,0,0,0,3.295836866004329,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,"(25, 45]"
54,0,1,65.0,0,1,1,0,4.142804513146981,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,"(45, 70]"
55,1,1,32.973597359735976,0,0,1,1,3.597312260588446,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,"(25, 45]"
56,1,2,21.0,0,0,0,1,2.4423470353692043,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,"(15, 25]"
57,0,3,28.5,0,0,1,1,2.1076888046179385,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
58,1,2,5.0,1,2,0,0,3.3586377672433594,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,"(0, 15]"
59,0,3,11.0,5,2,0,0,3.8691155044168695,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,"(0, 15]"
60,0,3,22.0,0,0,1,1,2.1076888046179385,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,"(15, 25]"
61,1,1,38.0,0,0,0,1,4.394449154672439,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,"(25, 45]"
62,0,1,45.0,1,0,1,0,4.436455632600354,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,"(25, 45]"
63,0,3,4.0,3,2,0,0,3.3638415951183864,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,"(0, 15]"
64,0,1,32.973597359735976,0,0,1,1,3.357621598945279,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,"(25, 45]"
65,1,3,36.0,1,1,1,0,2.7878344138303452,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
66,1,2,29.0,0,0,0,1,2.4423470353692043,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,"(25, 45]"
67,0,3,19.0,0,0,1,1,2.2146605719425225,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,"(15, 25]"
68,1,3,17.0,4,2,0,0,2.188856327665703,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,"(15, 25]"
69,0,3,26.0,2,0,1,0,2.2682524139135403,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
70,0,2,32.0,0,0,1,1,2.4423470353692043,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,"(25, 45]"
71,0,3,16.0,5,2,0,0,3.8691155044168695,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,"(15, 25]"
72,0,2,21.0,0,0,1,1,4.310799125385514,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,"(15, 25]"
73,0,3,26.0,1,0,1,0,2.737880811060884,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
74,1,3,32.0,0,0,1,1,4.05171190165724,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
75,0,3,25.0,0,0,1,1,2.157559320943788,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,"(15, 25]"
76,0,3,32.973597359735976,0,0,1,1,2.1855792552411137,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
77,0,3,32.973597359735976,0,0,1,1,2.2027647577118348,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
78,1,2,0.83,0,2,0,0,3.4011973816621555,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,"(0, 15]"
79,1,3,30.0,0,0,0,1,2.600836116795061,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,"(25, 45]"
80,0,3,22.0,0,0,1,1,2.302585092994046,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,"(15, 25]"
81,1,3,29.0,0,0,1,1,2.3513752571634776,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
82,1,3,31.08421052631579,0,0,0,1,2.1733302571367834,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,"(25, 45]"
83,0,1,28.0,0,0,1,1,3.8732821771117156,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,"(25, 45]"
84,1,2,17.0,0,0,0,1,2.4423470353692043,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,"(15, 25]"
85,1,3,33.0,3,0,0,0,2.8243506567983707,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,"(25, 45]"
86,0,3,16.0,1,3,1,0,3.5660053559634015,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,"(15, 25]"
87,0,3,32.973597359735976,0,0,1,1,2.2027647577118348,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
88,1,1,23.0,3,2,0,0,5.575949103146316,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,"(15, 25]"
89,0,3,24.0,0,0,1,1,2.2027647577118348,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,"(15, 25]"
90,0,3,29.0,0,0,1,1,2.2027647577118348,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
91,0,3,20.0,0,0,1,1,2.180891922715322,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,"(15, 25]"
92,0,1,46.0,1,0,1,0,4.1299529896894684,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,"(45, 70]"
93,0,3,26.0,1,2,1,0,3.0715352369694915,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
94,0,3,59.0,0,0,1,1,2.1102132003465894,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,"(45, 70]"
95,0,3,32.973597359735976,0,0,1,1,2.2027647577118348,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
96,0,1,71.0,0,0,1,1,3.57386695198272,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,"(70, 100]"
97,1,1,23.0,0,1,1,0,4.164465907853638,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,"(15, 25]"
98,1,2,34.0,0,1,0,0,3.1780538303479458,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,"(25, 45]"
99,0,2,34.0,1,0,1,0,3.295836866004329,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,"(25, 45]"
100,0,3,28.0,0,0,0,1,2.1855792552411137,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,"(25, 45]"
101,0,3,32.973597359735976,0,0,1,1,2.1855792552411137,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
102,0,1,21.0,0,1,1,0,4.360387947851531,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,"(15, 25]"
103,0,3,33.0,0,0,1,1,2.267393053825037,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
104,0,3,37.0,2,0,1,0,2.188856327665703,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
105,0,3,28.0,0,0,1,1,2.1855792552411137,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
106,1,3,21.0,0,0,0,1,2.157559320943788,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,"(15, 25]"
107,1,3,32.973597359735976,0,0,1,1,2.1719067693519296,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
108,0,3,38.0,0,0,1,1,2.1855792552411137,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
109,1,3,33.355555555555554,1,0,0,0,3.224857896545748,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,"(25, 45]"
110,0,1,47.0,0,0,1,1,3.970291913552122,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,"(45, 70]"
111,0,3,14.5,1,0,0,0,2.737880811060884,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,"(0, 15]"
112,0,3,22.0,0,0,1,1,2.2027647577118348,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,"(15, 25]"
113,0,3,20.0,1,0,0,0,2.3818582738885534,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,"(15, 25]"
114,0,3,17.0,0,0,0,1,2.738146075922933,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,"(15, 25]"
115,0,3,21.0,0,0,1,1,2.188856327665703,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,"(15, 25]"
116,0,3,70.5,0,0,1,1,2.169053700369523,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,"(70, 100]"
117,0,2,29.0,1,0,1,0,3.091042453358316,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,"(25, 45]"
118,0,1,24.0,0,1,1,0,5.515526544247129,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,"(15, 25]"
119,0,3,2.0,4,2,0,0,3.4742929367327062,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,"(0, 15]"
120,0,2,21.0,2,0,1,0,4.310799125385514,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,"(15, 25]"
121,0,3,32.973597359735976,0,0,1,1,2.2027647577118348,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
122,0,2,32.5,1,0,1,0,3.436268471383741,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,"(25, 45]"
123,1,2,32.5,0,0,0,1,2.6390573296152584,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,"(25, 45]"
124,0,1,54.0,0,1,1,0,4.360387947851531,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,"(45, 70]"
125,1,3,12.0,1,0,0,0,2.5048481563289,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,"(0, 15]"
126,0,3,32.973597359735976,0,0,1,1,2.169053700369523,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
127,1,3,24.0,0,0,1,1,2.0969990034181696,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,"(15, 25]"
128,1,3,35.45,1,1,0,0,3.1509523813392697,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,"(25, 45]"
129,0,3,45.0,0,0,1,1,2.076311648670908,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
130,0,3,33.0,0,0,1,1,2.1855792552411137,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
131,0,3,20.0,0,0,1,1,2.085672091430472,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,"(15, 25]"
132,0,3,47.0,1,0,0,0,2.740840023925201,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,"(45, 70]"
133,1,2,29.0,1,0,0,0,3.295836866004329,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,"(25, 45]"
134,0,2,25.0,0,0,1,1,2.6390573296152584,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,"(15, 25]"
135,0,2,23.0,0,0,1,1,2.775447133088262,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,"(15, 25]"
136,1,1,19.0,0,2,0,0,3.3062747934011893,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,"(15, 25]"
137,0,1,37.0,1,0,1,0,3.9908341858524357,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,"(25, 45]"
138,0,3,16.0,0,0,1,1,2.3240236363515288,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,"(15, 25]"
139,0,1,24.0,0,0,1,1,4.384523514872469,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,"(15, 25]"
140,0,3,26.833333333333332,0,2,0,0,2.7878344138303452,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,"(25, 45]"
141,1,3,22.0,0,0,0,1,2.169053700369523,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,"(15, 25]"
142,1,3,24.0,1,0,0,0,2.8243506567983707,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,"(15, 25]"
143,0,3,19.0,0,0,1,1,2.0476928433652555,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,"(15, 25]"
144,0,2,18.0,0,0,1,1,2.5257286443082556,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,"(15, 25]"
145,0,2,19.0,1,1,1,0,3.6309854756950335,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,"(15, 25]"
146,1,3,27.0,0,0,1,1,2.174274334826008,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
147,0,3,9.0,2,2,0,0,3.5660053559634015,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,"(0, 15]"
148,0,2,36.5,0,2,1,0,3.295836866004329,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,"(25, 45]"
149,0,2,42.0,0,0,1,1,2.6390573296152584,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,"(25, 45]"
150,0,2,51.0,0,0,1,1,2.6045398247325453,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,"(45, 70]"
151,1,1,22.0,1,0,0,0,4.213607983048918,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,"(15, 25]"
152,0,3,55.5,0,0,1,1,2.2027647577118348,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,"(45, 70]"
153,0,3,40.5,0,2,1,0,2.740840023925201,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,"(25, 45]"
