,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,age_groups,log_fare,gender,female_class,deck_A,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,deck_Unknown,embarked_C,embarked_Q,embarked_S,embarked_U,who_child,who_man,who_woman,class_First,class_Second,class_Third,"age_groups_(0, 15]","age_groups_(15, 25]","age_groups_(25, 45]","age_groups_(45, 70]","age_groups_(70, 100]"
33,0,2,male,66.0,0,0,10.5,S,Second,man,1,Unknown,Southampton,no,1,"(45, 70]",2.4423470353692043,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
34,0,1,male,28.0,1,0,82.1708,C,First,man,1,Unknown,Cherbourg,no,0,"(25, 45]",4.420896324687287,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
35,0,1,male,42.0,1,0,52.0,S,First,man,1,Unknown,Southampton,no,0,"(25, 45]",3.970291913552122,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
36,1,3,male,32.973597359735976,0,0,7.2292,C,Third,man,1,Unknown,Cherbourg,yes,1,"(25, 45]",2.1076888046179385,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
37,0,3,male,21.0,0,0,8.05,S,Third,man,1,Unknown,Southampton,no,1,"(15, 25]",2.2027647577118348,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
38,0,3,female,18.0,2,0,18.0,S,Third,woman,0,Unknown,Southampton,no,0,"(15, 25]",2.9444389791664403,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
39,1,3,female,14.0,1,0,11.2417,C,Third,child,0,Unknown,Cherbourg,yes,0,"(0, 15]",2.5048481563289,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
40,0,3,female,40.0,1,0,9.475,S,Third,woman,0,Unknown,Southampton,no,0,"(25, 45]",2.348991465808201,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
41,0,2,female,27.0,1,0,21.0,S,Second,woman,0,Unknown,Southampton,no,0,"(25, 45]",3.091042453358316,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
42,0,3,male,32.973597359735976,0,0,7.8958,C,Third,man,1,Unknown,Cherbourg,no,1,"(25, 45]",2.1855792552411137,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
43,1,2,female,3.0,1,2,41.5792,C,Second,child,0,Unknown,Cherbourg,yes,0,"(0, 15]",3.7513658711253766,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
44,1,3,female,19.0,0,0,7.8792,Q,Third,woman,0,Unknown,Queenstown,yes,1,"(15, 25]",2.1837114628556327,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
45,0,3,male,32.973597359735976,0,0,8.05,S,Third,man,1,Unknown,Southampton,no,1,"(25, 45]",2.2027647577118348,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
46,0,3,male,32.70192307692308,1,0,15.5,Q,Third,man,1,Unknown,Queenstown,no,0,"(25, 45]",2.803360380906535,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
47,1,3,female,31.08421052631579,0,0,7.75,Q,Third,woman,0,Unknown,Queenstown,yes,1,"(25, 45]",2.169053700369523,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
48,0,3,male,31.181818181818183,2,0,21.6792,C,Third,man,1,Unknown,Cherbourg,no,0,"(25, 45]",3.1214482048688246,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
49,0,3,female,18.0,1,0,17.8,S,Third,woman,0,Unknown,Southampton,no,0,"(15, 25]",2.9338568698359038,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
50,0,3,male,7.0,4,1,39.6875,S,Third,child,0,Unknown,Southampton,no,0,"(0, 15]",3.705920919968788,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
51,0,3,male,21.0,0,0,7.8,S,Third,man,1,Unknown,Southampton,no,1,"(15, 25]",2.174751721484161,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
52,1,1,female,49.0,1,0,76.7292,C,First,woman,0,D,Cherbourg,yes,0,"(45, 70]",4.353230991152628,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
53,1,2,female,29.0,1,0,26.0,S,Second,woman,0,Unknown,Southampton,yes,0,"(25, 45]",3.295836866004329,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
54,0,1,male,65.0,0,1,61.9792,C,First,man,1,B,Cherbourg,no,0,"(45, 70]",4.142804513146981,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
55,1,1,male,32.973597359735976,0,0,35.5,S,First,man,1,C,Southampton,yes,1,"(25, 45]",3.597312260588446,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
56,1,2,female,21.0,0,0,10.5,S,Second,woman,0,Unknown,Southampton,yes,1,"(15, 25]",2.4423470353692043,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
57,0,3,male,28.5,0,0,7.2292,C,Third,man,1,Unknown,Cherbourg,no,1,"(25, 45]",2.1076888046179385,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
58,1,2,female,5.0,1,2,27.75,S,Second,child,0,Unknown,Southampton,yes,0,"(0, 15]",3.3586377672433594,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
59,0,3,male,11.0,5,2,46.9,S,Third,child,0,Unknown,Southampton,no,0,"(0, 15]",3.8691155044168695,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
60,0,3,male,22.0,0,0,7.2292,C,Third,man,1,Unknown,Cherbourg,no,1,"(15, 25]",2.1076888046179385,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
61,1,1,female,38.0,0,0,80.0,U,First,woman,0,B,Unknown,yes,1,"(25, 45]",4.394449154672439,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
62,0,1,male,45.0,1,0,83.475,S,First,man,1,C,Southampton,no,0,"(25, 45]",4.436455632600354,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
63,0,3,male,4.0,3,2,27.9,S,Third,child,0,Unknown,Southampton,no,0,"(0, 15]",3.3638415951183864,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
64,0,1,male,32.973597359735976,0,0,27.7208,C,First,man,1,Unknown,Cherbourg,no,1,"(25, 45]",3.357621598945279,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
65,1,3,male,36.0,1,1,15.2458,C,Third,man,1,Unknown,Cherbourg,yes,0,"(25, 45]",2.7878344138303452,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
66,1,2,female,29.0,0,0,10.5,S,Second,woman,0,F,Southampton,yes,1,"(25, 45]",2.4423470353692043,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
67,0,3,male,19.0,0,0,8.1583,S,Third,man,1,Unknown,Southampton,no,1,"(15, 25]",2.2146605719425225,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
68,1,3,female,17.0,4,2,7.925,S,Third,woman,0,Unknown,Southampton,yes,0,"(15, 25]",2.188856327665703,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
69,0,3,male,26.0,2,0,8.6625,S,Third,man,1,Unknown,Southampton,no,0,"(25, 45]",2.2682524139135403,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
70,0,2,male,32.0,0,0,10.5,S,Second,man,1,Unknown,Southampton,no,1,"(25, 45]",2.4423470353692043,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
71,0,3,female,16.0,5,2,46.9,S,Third,woman,0,Unknown,Southampton,no,0,"(15, 25]",3.8691155044168695,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
72,0,2,male,21.0,0,0,73.5,S,Second,man,1,Unknown,Southampton,no,1,"(15, 25]",4.310799125385514,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
73,0,3,male,26.0,1,0,14.4542,C,Third,man,1,Unknown,Cherbourg,no,0,"(25, 45]",2.737880811060884,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
74,1,3,male,32.0,0,0,56.4958,S,Third,man,1,Unknown,Southampton,yes,1,"(25, 45]",4.05171190165724,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
75,0,3,male,25.0,0,0,7.65,S,Third,man,1,F,Southampton,no,1,"(15, 25]",2.157559320943788,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
76,0,3,male,32.973597359735976,0,0,7.8958,S,Third,man,1,Unknown,Southampton,no,1,"(25, 45]",2.1855792552411137,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
77,0,3,male,32.973597359735976,0,0,8.05,S,Third,man,1,Unknown,Southampton,no,1,"(25, 45]",2.2027647577118348,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
78,1,2,male,0.83,0,2,29.0,S,Second,child,0,Unknown,Southampton,yes,0,"(0, 15]",3.4011973816621555,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
79,1,3,female,30.0,0,0,12.475,S,Third,woman,0,Unknown,Southampton,yes,1,"(25, 45]",2.600836116795061,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
80,0,3,male,22.0,0,0,9.0,S,Third,man,1,Unknown,Southampton,no,1,"(15, 25]",2.302585092994046,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
81,1,3,male,29.0,0,0,9.5,S,Third,man,1,Unknown,Southampton,yes,1,"(25, 45]",2.3513752571634776,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
82,1,3,female,31.08421052631579,0,0,7.7875,Q,Third,woman,0,Unknown,Queenstown,yes,1,"(25, 45]",2.1733302571367834,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
83,0,1,male,28.0,0,0,47.1,S,First,man,1,Unknown,Southampton,no,1,"(25, 45]",3.8732821771117156,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
84,1,2,female,17.0,0,0,10.5,S,Second,woman,0,Unknown,Southampton,yes,1,"(15, 25]",2.4423470353692043,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
85,1,3,female,33.0,3,0,15.85,S,Third,woman,0,Unknown,Southampton,yes,0,"(25, 45]",2.8243506567983707,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
86,0,3,male,16.0,1,3,34.375,S,Third,man,1,Unknown,Southampton,no,0,"(15, 25]",3.5660053559634015,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
87,0,3,male,32.973597359735976,0,0,8.05,S,Third,man,1,Unknown,Southampton,no,1,"(25, 45]",2.2027647577118348,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
88,1,1,female,23.0,3,2,263.0,S,First,woman,0,C,Southampton,yes,0,"(15, 25]",5.575949103146316,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
89,0,3,male,24.0,0,0,8.05,S,Third,man,1,Unknown,Southampton,no,1,"(15, 25]",2.2027647577118348,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
90,0,3,male,29.0,0,0,8.05,S,Third,man,1,Unknown,Southampton,no,1,"(25, 45]",2.2027647577118348,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
91,0,3,male,20.0,0,0,7.8542,S,Third,man,1,Unknown,Southampton,no,1,"(15, 25]",2.180891922715322,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
92,0,1,male,46.0,1,0,61.175,S,First,man,1,E,Southampton,no,0,"(45, 70]",4.1299529896894684,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
93,0,3,male,26.0,1,2,20.575,S,Third,man,1,Unknown,Southampton,no,0,"(25, 45]",3.0715352369694915,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
94,0,3,male,59.0,0,0,7.25,S,Third,man,1,Unknown,Southampton,no,1,"(45, 70]",2.1102132003465894,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
95,0,3,male,32.973597359735976,0,0,8.05,S,Third,man,1,Unknown,Southampton,no,1,"(25, 45]",2.2027647577118348,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
96,0,1,male,71.0,0,0,34.6542,C,First,man,1,A,Cherbourg,no,1,"(70, 100]",3.57386695198272,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
97,1,1,male,23.0,0,1,63.3583,C,First,man,1,D,Cherbourg,yes,0,"(15, 25]",4.164465907853638,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
98,1,2,female,34.0,0,1,23.0,S,Second,woman,0,Unknown,Southampton,yes,0,"(25, 45]",3.1780538303479458,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
99,0,2,male,34.0,1,0,26.0,S,Second,man,1,Unknown,Southampton,no,0,"(25, 45]",3.295836866004329,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
100,0,3,female,28.0,0,0,7.8958,S,Third,woman,0,Unknown,Southampton,no,1,"(25, 45]",2.1855792552411137,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
101,0,3,male,32.973597359735976,0,0,7.8958,S,Third,man,1,Unknown,Southampton,no,1,"(25, 45]",2.1855792552411137,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
102,0,1,male,21.0,0,1,77.2875,S,First,man,1,D,Southampton,no,0,"(15, 25]",4.360387947851531,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
103,0,3,male,33.0,0,0,8.6542,S,Third,man,1,Unknown,Southampton,no,1,"(25, 45]",2.267393053825037,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
104,0,3,male,37.0,2,0,7.925,S,Third,man,1,Unknown,Southampton,no,0,"(25, 45]",2.188856327665703,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
105,0,3,male,28.0,0,0,7.8958,S,Third,man,1,Unknown,Southampton,no,1,"(25, 45]",2.1855792552411137,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
106,1,3,female,21.0,0,0,7.65,S,Third,woman,0,Unknown,Southampton,yes,1,"(15, 25]",2.157559320943788,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
107,1,3,male,32.973597359735976,0,0,7.775,S,Third,man,1,Unknown,Southampton,yes,1,"(25, 45]",2.1719067693519296,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
108,0,3,male,38.0,0,0,7.8958,S,Third,man,1,Unknown,Southampton,no,1,"(25, 45]",2.1855792552411137,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
109,1,3,female,33.355555555555554,1,0,24.15,Q,Third,woman,0,Unknown,Queenstown,yes,0,"(25, 45]",3.224857896545748,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
110,0,1,male,47.0,0,0,52.0,S,First,man,1,C,Southampton,no,1,"(45, 70]",3.970291913552122,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
111,0,3,female,14.5,1,0,14.4542,C,Third,child,0,Unknown,Cherbourg,no,0,"(0, 15]",2.737880811060884,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
112,0,3,male,22.0,0,0,8.05,S,Third,man,1,Unknown,Southampton,no,1,"(15, 25]",2.2027647577118348,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
113,0,3,female,20.0,1,0,9.825,S,Third,woman,0,Unknown,Southampton,no,0,"(15, 25]",2.3818582738885534,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
114,0,3,female,17.0,0,0,14.4583,C,Third,woman,0,Unknown,Cherbourg,no,1,"(15, 25]",2.738146075922933,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
115,0,3,male,21.0,0,0,7.925,S,Third,man,1,Unknown,Southampton,no,1,"(15, 25]",2.188856327665703,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
116,0,3,male,70.5,0,0,7.75,Q,Third,man,1,Unknown,Queenstown,no,1,"(70, 100]",2.169053700369523,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
117,0,2,male,29.0,1,0,21.0,S,Second,man,1,Unknown,Southampton,no,0,"(25, 45]",3.091042453358316,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
118,0,1,male,24.0,0,1,247.5208,C,First,man,1,B,Cherbourg,no,0,"(15, 25]",5.515526544247129,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
119,0,3,female,2.0,4,2,31.275,S,Third,child,0,Unknown,Southampton,no,0,"(0, 15]",3.4742929367327062,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
120,0,2,male,21.0,2,0,73.5,S,Second,man,1,Unknown,Southampton,no,0,"(15, 25]",4.310799125385514,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
