,Unnamed: 0,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,age_groups,female_from_2nd_class,deck_A,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,deck_Unknown,embark_town_Cherbourg,embark_town_Queenstown,embark_town_Southampton,class_First,class_Second,class_Third,"age_groups_(0, 15]","age_groups_(15, 25]","age_groups_(25, 35]","age_groups_(35, 45]","age_groups_(45, 60]","age_groups_(60, 80]"
24,24,0,3,0,8.0,3,1,21.075,S,Third,3,0,Unknown,Southampton,no,0,"(0, 15]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
25,25,1,3,0,38.0,1,5,31.3875,S,Third,1,0,Unknown,Southampton,yes,0,"(35, 45]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
26,26,0,3,1,32.973597359735976,0,0,7.225,C,Third,0,1,Unknown,Cherbourg,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
27,27,0,1,1,19.0,3,2,263.0,S,First,0,1,C,Southampton,no,0,"(15, 25]",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
28,28,1,3,0,31.08421052631579,0,0,7.8792,Q,Third,1,0,Unknown,Queenstown,yes,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
29,29,0,3,1,32.973597359735976,0,0,7.8958,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
30,30,0,1,1,40.0,0,0,27.7208,C,First,0,1,Unknown,Cherbourg,no,1,"(35, 45]",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
31,31,1,1,0,33.355555555555554,1,0,146.5208,C,First,1,0,B,Cherbourg,yes,0,"(25, 35]",1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
32,32,1,3,0,31.08421052631579,0,0,7.75,Q,Third,1,0,Unknown,Queenstown,yes,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
33,33,0,2,1,66.0,0,0,10.5,S,Second,0,1,Unknown,Southampton,no,1,"(60, 80]",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
34,34,0,1,1,28.0,1,0,82.1708,C,First,0,1,Unknown,Cherbourg,no,0,"(25, 35]",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
35,35,0,1,1,42.0,1,0,52.0,S,First,0,1,Unknown,Southampton,no,0,"(35, 45]",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
36,36,1,3,1,32.973597359735976,0,0,7.2292,C,Third,0,1,Unknown,Cherbourg,yes,1,"(25, 35]",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
37,37,0,3,1,21.0,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
38,38,0,3,0,18.0,2,0,18.0,S,Third,1,0,Unknown,Southampton,no,0,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
39,39,1,3,0,14.0,1,0,11.2417,C,Third,3,0,Unknown,Cherbourg,yes,0,"(0, 15]",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
40,40,0,3,0,40.0,1,0,9.475,S,Third,1,0,Unknown,Southampton,no,0,"(35, 45]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
41,41,0,2,0,27.0,1,0,21.0,S,Second,1,0,Unknown,Southampton,no,0,"(25, 35]",1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
42,42,0,3,1,32.973597359735976,0,0,7.8958,C,Third,0,1,Unknown,Cherbourg,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
43,43,1,2,0,3.0,1,2,41.5792,C,Second,3,0,Unknown,Cherbourg,yes,0,"(0, 15]",1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
44,44,1,3,0,19.0,0,0,7.8792,Q,Third,1,0,Unknown,Queenstown,yes,1,"(15, 25]",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
45,45,0,3,1,32.973597359735976,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
46,46,0,3,1,32.70192307692308,1,0,15.5,Q,Third,0,1,Unknown,Queenstown,no,0,"(25, 35]",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
47,47,1,3,0,31.08421052631579,0,0,7.75,Q,Third,1,0,Unknown,Queenstown,yes,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
48,48,0,3,1,31.181818181818183,2,0,21.6792,C,Third,0,1,Unknown,Cherbourg,no,0,"(25, 35]",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
49,49,0,3,0,18.0,1,0,17.8,S,Third,1,0,Unknown,Southampton,no,0,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
50,50,0,3,1,7.0,4,1,39.6875,S,Third,3,0,Unknown,Southampton,no,0,"(0, 15]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
51,51,0,3,1,21.0,0,0,7.8,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
52,52,1,1,0,49.0,1,0,76.7292,C,First,1,0,D,Cherbourg,yes,0,"(45, 60]",1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
53,53,1,2,0,29.0,1,0,26.0,S,Second,1,0,Unknown,Southampton,yes,0,"(25, 35]",1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
54,54,0,1,1,65.0,0,1,61.9792,C,First,0,1,B,Cherbourg,no,0,"(60, 80]",0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
55,55,1,1,1,32.973597359735976,0,0,35.5,S,First,0,1,C,Southampton,yes,1,"(25, 35]",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
56,56,1,2,0,21.0,0,0,10.5,S,Second,1,0,Unknown,Southampton,yes,1,"(15, 25]",1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
57,57,0,3,1,28.5,0,0,7.2292,C,Third,0,1,Unknown,Cherbourg,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
58,58,1,2,0,5.0,1,2,27.75,S,Second,3,0,Unknown,Southampton,yes,0,"(0, 15]",1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
59,59,0,3,1,11.0,5,2,46.9,S,Third,3,0,Unknown,Southampton,no,0,"(0, 15]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
60,60,0,3,1,22.0,0,0,7.2292,C,Third,0,1,Unknown,Cherbourg,no,1,"(15, 25]",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
61,61,1,1,0,38.0,0,0,80.0,,First,1,0,B,Southampton,yes,1,"(35, 45]",1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
62,62,0,1,1,45.0,1,0,83.475,S,First,0,1,C,Southampton,no,0,"(35, 45]",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
63,63,0,3,1,4.0,3,2,27.9,S,Third,3,0,Unknown,Southampton,no,0,"(0, 15]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
64,64,0,1,1,32.973597359735976,0,0,27.7208,C,First,0,1,Unknown,Cherbourg,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
65,65,1,3,1,36.0,1,1,15.2458,C,Third,0,1,Unknown,Cherbourg,yes,0,"(35, 45]",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
66,66,1,2,0,29.0,0,0,10.5,S,Second,1,0,F,Southampton,yes,1,"(25, 35]",1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
67,67,0,3,1,19.0,0,0,8.1583,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
68,68,1,3,0,17.0,4,2,7.925,S,Third,1,0,Unknown,Southampton,yes,0,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
69,69,0,3,1,26.0,2,0,8.6625,S,Third,0,1,Unknown,Southampton,no,0,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
70,70,0,2,1,32.0,0,0,10.5,S,Second,0,1,Unknown,Southampton,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
71,71,0,3,0,16.0,5,2,46.9,S,Third,1,0,Unknown,Southampton,no,0,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
72,72,0,2,1,21.0,0,0,73.5,S,Second,0,1,Unknown,Southampton,no,1,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
73,73,0,3,1,26.0,1,0,14.4542,C,Third,0,1,Unknown,Cherbourg,no,0,"(25, 35]",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
74,74,1,3,1,32.0,0,0,56.4958,S,Third,0,1,Unknown,Southampton,yes,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
75,75,0,3,1,25.0,0,0,7.65,S,Third,0,1,F,Southampton,no,1,"(15, 25]",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
76,76,0,3,1,32.973597359735976,0,0,7.8958,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
77,77,0,3,1,32.973597359735976,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
78,78,1,2,1,0.83,0,2,29.0,S,Second,3,0,Unknown,Southampton,yes,0,"(0, 15]",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
79,79,1,3,0,30.0,0,0,12.475,S,Third,1,0,Unknown,Southampton,yes,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
80,80,0,3,1,22.0,0,0,9.0,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
81,81,1,3,1,29.0,0,0,9.5,S,Third,0,1,Unknown,Southampton,yes,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
82,82,1,3,0,31.08421052631579,0,0,7.7875,Q,Third,1,0,Unknown,Queenstown,yes,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
83,83,0,1,1,28.0,0,0,47.1,S,First,0,1,Unknown,Southampton,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
84,84,1,2,0,17.0,0,0,10.5,S,Second,1,0,Unknown,Southampton,yes,1,"(15, 25]",1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
85,85,1,3,0,33.0,3,0,15.85,S,Third,1,0,Unknown,Southampton,yes,0,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
86,86,0,3,1,16.0,1,3,34.375,S,Third,0,1,Unknown,Southampton,no,0,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
87,87,0,3,1,32.973597359735976,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
88,88,1,1,0,23.0,3,2,263.0,S,First,1,0,C,Southampton,yes,0,"(15, 25]",1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
89,89,0,3,1,24.0,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
90,90,0,3,1,29.0,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
91,91,0,3,1,20.0,0,0,7.8542,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
92,92,0,1,1,46.0,1,0,61.175,S,First,0,1,E,Southampton,no,0,"(45, 60]",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
93,93,0,3,1,26.0,1,2,20.575,S,Third,0,1,Unknown,Southampton,no,0,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
94,94,0,3,1,59.0,0,0,7.25,S,Third,0,1,Unknown,Southampton,no,1,"(45, 60]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
95,95,0,3,1,32.973597359735976,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
96,96,0,1,1,71.0,0,0,34.6542,C,First,0,1,A,Cherbourg,no,1,"(60, 80]",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
97,97,1,1,1,23.0,0,1,63.3583,C,First,0,1,D,Cherbourg,yes,0,"(15, 25]",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
98,98,1,2,0,34.0,0,1,23.0,S,Second,1,0,Unknown,Southampton,yes,0,"(25, 35]",1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
99,99,0,2,1,34.0,1,0,26.0,S,Second,0,1,Unknown,Southampton,no,0,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
100,100,0,3,0,28.0,0,0,7.8958,S,Third,1,0,Unknown,Southampton,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
101,101,0,3,1,32.973597359735976,0,0,7.8958,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
102,102,0,1,1,21.0,0,1,77.2875,S,First,0,1,D,Southampton,no,0,"(15, 25]",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
103,103,0,3,1,33.0,0,0,8.6542,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
104,104,0,3,1,37.0,2,0,7.925,S,Third,0,1,Unknown,Southampton,no,0,"(35, 45]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
105,105,0,3,1,28.0,0,0,7.8958,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
106,106,1,3,0,21.0,0,0,7.65,S,Third,1,0,Unknown,Southampton,yes,1,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
107,107,1,3,1,32.973597359735976,0,0,7.775,S,Third,0,1,Unknown,Southampton,yes,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
108,108,0,3,1,38.0,0,0,7.8958,S,Third,0,1,Unknown,Southampton,no,1,"(35, 45]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
109,109,1,3,0,33.355555555555554,1,0,24.15,Q,Third,1,0,Unknown,Queenstown,yes,0,"(25, 35]",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
110,110,0,1,1,47.0,0,0,52.0,S,First,0,1,C,Southampton,no,1,"(45, 60]",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
111,111,0,3,0,14.5,1,0,14.4542,C,Third,3,0,Unknown,Cherbourg,no,0,"(0, 15]",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
112,112,0,3,1,22.0,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
113,113,0,3,0,20.0,1,0,9.825,S,Third,1,0,Unknown,Southampton,no,0,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
114,114,0,3,0,17.0,0,0,14.4583,C,Third,1,0,Unknown,Cherbourg,no,1,"(15, 25]",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
115,115,0,3,1,21.0,0,0,7.925,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
116,116,0,3,1,70.5,0,0,7.75,Q,Third,0,1,Unknown,Queenstown,no,1,"(60, 80]",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
117,117,0,2,1,29.0,1,0,21.0,S,Second,0,1,Unknown,Southampton,no,0,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
118,118,0,1,1,24.0,0,1,247.5208,C,First,0,1,B,Cherbourg,no,0,"(15, 25]",0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
119,119,0,3,0,2.0,4,2,31.275,S,Third,3,0,Unknown,Southampton,no,0,"(0, 15]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
120,120,0,2,1,21.0,2,0,73.5,S,Second,0,1,Unknown,Southampton,no,0,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
121,121,0,3,1,32.973597359735976,0,0,8.05,S,Third,0,1,Unknown,Southampton,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
122,122,0,2,1,32.5,1,0,30.0708,C,Second,0,1,Unknown,Cherbourg,no,0,"(25, 35]",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
123,123,1,2,0,32.5,0,0,13.0,S,Second,1,0,E,Southampton,yes,1,"(25, 35]",1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
124,124,0,1,1,54.0,0,1,77.2875,S,First,0,1,D,Southampton,no,0,"(45, 60]",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
125,125,1,3,1,12.0,1,0,11.2417,C,Third,3,0,Unknown,Cherbourg,yes,0,"(0, 15]",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
126,126,0,3,1,32.973597359735976,0,0,7.75,Q,Third,0,1,Unknown,Queenstown,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
127,127,1,3,1,24.0,0,0,7.1417,S,Third,0,1,Unknown,Southampton,yes,1,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
128,128,1,3,0,35.45,1,1,22.3583,C,Third,1,0,F,Cherbourg,yes,0,"(35, 45]",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
129,129,0,3,1,45.0,0,0,6.975,S,Third,0,1,Unknown,Southampton,no,1,"(35, 45]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
130,130,0,3,1,33.0,0,0,7.8958,C,Third,0,1,Unknown,Cherbourg,no,1,"(25, 35]",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
131,131,0,3,1,20.0,0,0,7.05,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
132,132,0,3,0,47.0,1,0,14.5,S,Third,1,0,Unknown,Southampton,no,0,"(45, 60]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
133,133,1,2,0,29.0,1,0,26.0,S,Second,1,0,Unknown,Southampton,yes,0,"(25, 35]",1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
134,134,0,2,1,25.0,0,0,13.0,S,Second,0,1,Unknown,Southampton,no,1,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
135,135,0,2,1,23.0,0,0,15.0458,C,Second,0,1,Unknown,Cherbourg,no,1,"(15, 25]",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
136,136,1,1,0,19.0,0,2,26.2833,S,First,1,0,D,Southampton,yes,0,"(15, 25]",1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
137,137,0,1,1,37.0,1,0,53.1,S,First,0,1,C,Southampton,no,0,"(35, 45]",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
138,138,0,3,1,16.0,0,0,9.2167,S,Third,0,1,Unknown,Southampton,no,1,"(15, 25]",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
139,139,0,1,1,24.0,0,0,79.2,C,First,0,1,B,Cherbourg,no,1,"(15, 25]",0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
